task,memory_split,b0_score,b0_success,b1_score,b1_success,b2_score,b2_success,b3_score,b3_success,b4_score,b4_success
AcceptMeetingTask,single_app_control,1.0,True,1.0,True,1.0,True,1.0,True,0.0,False
AdjustBrightnessMaximumTask,single_app_control,1.0,True,1.0,True,1.0,True,1.0,True,0.0,False
AdjustBrightnessMinimumTask,single_app_control,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True
AdjustFontIconMaximumTask,single_app_control,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
AdjustFontIconMinimumTask,single_app_control,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True
BidFileRenameTask,single_app_control,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
CVEmailTask,cross_app_memory_candidate,0.0,False,1.0,True,0.0,False,0.0,False,1.0,True
CancelMeetingTask,single_app_control,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True
CartInfoNotificationTask,cross_app_memory_candidate,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
CartManagementTask,single_app_control,0.0,False,0.0,False,1.0,True,0.0,False,1.0,True
ChangeWallpaperTask,cross_app_memory_candidate,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True
CheckCartPriceTask,single_app_control,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
CheckConferenceAndSendSmsTask1,cross_app_memory_candidate,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
CheckConferenceAndSendSmsTask2,cross_app_memory_candidate,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
CheckConferenceDurationTask,single_app_control,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
CheckConferenceLocationTask,cross_app_memory_candidate,1.0,True,0.0,False,0.0,False,0.0,False,0.0,False
CheckDeduplicatedEventsTask,single_app_control,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
CheckDepartTimeTask,cross_app_memory_candidate,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True
CheckEventTimeTask,cross_app_memory_candidate,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
CheckGithubInfoTask,cross_app_memory_candidate,0.0,False,1.0,True,0.0,False,0.0,False,1.0,True
CheckInterviewTimesTask,cross_app_memory_candidate,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
CheckInvoiceTask1,cross_app_memory_candidate,1.0,True,0.0,False,1.0,True,1.0,True,1.0,True
CheckInvoiceTask2,cross_app_memory_candidate,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
CheckInvoiceTask3,cross_app_memory_candidate,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
CheckPuchasedItem,single_app_control,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True
CheckRegistrationTask,single_app_control,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True
