sample_count,seed,spearman,top_budget_jaccard,mean_standard_error,actual_utility,utility_ratio_to_exact_selection,utility_ratio_to_subset_optimum,selected_events
4,0,0.928571,0.5,2.173239,47.818,0.883882,0.758895,1 2 3
4,1,1.0,1.0,2.435411,54.1,1.0,0.858594,0 2 3
4,2,1.0,1.0,2.754455,54.1,1.0,0.858594,0 2 3
4,3,1.0,1.0,4.052438,54.1,1.0,0.858594,0 2 3
4,4,0.97619,1.0,3.541377,54.1,1.0,0.858594,0 2 3
8,0,1.0,1.0,1.623202,54.1,1.0,0.858594,0 2 3
8,1,1.0,1.0,2.030575,54.1,1.0,0.858594,0 2 3
8,2,1.0,1.0,2.209544,54.1,1.0,0.858594,0 2 3
8,3,1.0,1.0,2.525875,54.1,1.0,0.858594,0 2 3
8,4,0.97619,1.0,2.593013,54.1,1.0,0.858594,0 2 3
16,0,1.0,1.0,1.466694,54.1,1.0,0.858594,0 2 3
16,1,1.0,1.0,1.612688,54.1,1.0,0.858594,0 2 3
16,2,0.97619,1.0,1.543735,54.1,1.0,0.858594,0 2 3
16,3,1.0,1.0,1.7322,54.1,1.0,0.858594,0 2 3
16,4,0.97619,1.0,1.927156,54.1,1.0,0.858594,0 2 3
32,0,1.0,1.0,1.128322,54.1,1.0,0.858594,0 2 3
32,1,0.97619,1.0,1.189709,54.1,1.0,0.858594,0 2 3
32,2,0.97619,1.0,1.146847,54.1,1.0,0.858594,0 2 3
32,3,1.0,1.0,1.186933,54.1,1.0,0.858594,0 2 3
32,4,0.97619,1.0,1.275693,54.1,1.0,0.858594,0 2 3
